active_weeks,target_variable,total_volume,trader_activity_status,trader_volume_status,trader_weekly_frequency_status,tx_count_365d,wallet
1,🔴 Bad Trader,38.72611901147597,🐤 Regular User,🦐 Low Value Trader,🐣 Unserious,2,0xa3c6acd45396110466fd8972875b3e6d33a0b0b8
1,🔴 Bad Trader,135.94375441410997,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0xbc0452c93e33b886d0e6750a9fc261e1d3c877ed
1,🔴 Bad Trader,0.457897045965,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x477b0f0e29494a1e108a302ffecff3d76663386c
5,🔴 Bad Trader,37.6143067,🐤 Regular User,🦐 Low Value Trader,🐦 OG,8,0x02170d140c843646d4802f6e65f9236baccc2f70
1,🔴 Bad Trader,2.3896078126383,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0xcb69aceac5956af777d4d77c8d01c1fdea5828bd
3,🔴 Bad Trader,14.902772546902403,🐤 Regular User,🦐 Low Value Trader,🐦 OG,3,0x78b30374d8ced71c9facb9ae3d72f85208d50770
1,🔴 Bad Trader,10.6528675,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x39c77ae2a76b845ed504c0b1ecdf03e8464758da
1,🔴 Bad Trader,19.703674001506037,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x0e9871b56ff25af7f18f2195ee2c1889be3f6359
5,🔴 Bad Trader,13.459572600877536,🐤 Regular User,🦐 Low Value Trader,🐦 OG,9,0xc9cb7b37e955f936c26d2210c64f3165058b77ec
1,🔴 Bad Trader,2.1680059613027014,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x76482d8707fd7b3ae2ca7bb04108c81b7b770358
2,🔴 Bad Trader,1.7857275515344728,🐤 Regular User,🦐 Low Value Trader,🐤 Just there,2,0x86f3456aeaf20477dc5492037246d77bd87851cb
2,🔴 Bad Trader,10.219635009692107,🐤 Regular User,🦐 Low Value Trader,🐤 Just there,7,0xa6f0442d7088036d77ed4e5497323a94101cdb38
1,🔴 Bad Trader,13.5334803474,🐤 Regular User,🦐 Low Value Trader,🐣 Unserious,2,0x87a05cdb55efe86ca8c48747eecdb49881bef8ef
1,🔴 Bad Trader,334.8477185485976,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0xe5d2cd1e7fdc78062871a74653bba4835656b4c0
2,🔴 Bad Trader,20.61785857584498,🐤 Regular User,🦐 Low Value Trader,🐤 Just there,2,0x77ac1279358477cfcd522c85c068f14c7e91d907
1,🔴 Bad Trader,6.0043435,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0xa5fc16113c25899f119290e180f40b443fa91139
1,🔴 Bad Trader,22.36588894693774,🐤 Regular User,🦐 Low Value Trader,🐣 Unserious,2,0x78211aae270c15e9eb8cb73dfae61b9dcfb4393b
8,🔴 Bad Trader,15.259644693982032,🐦 Frequent User,🦐 Low Value Trader,🐦 OG,12,0x0879927bd66fa81b7d7b3e1285fd49e8f8e68daa
7,🔴 Bad Trader,0.07360162999999999,🐦 Frequent User,🦐 Low Value Trader,🐦 OG,22,0x73af3d49aaacccbc47ae6948c551ee894c54d935
1,🔴 Bad Trader,106.916052,🐤 Regular User,🐟 Middle Value Trader,🐣 Unserious,2,0x1c436b9e76445fa5719825eee09298274ed4f1b0
1,🔴 Bad Trader,29.273109294138607,🐤 Regular User,🦐 Low Value Trader,🐣 Unserious,7,0x960ec0f21d8b2d117d5f2331e5627f6489917186
1,🔴 Bad Trader,6888.368302429077,🐤 Regular User,🐟 Middle Value Trader,🐣 Unserious,4,0x61aa64b50f6bb745ac1f830d257bbc0f4075587d
2,🔴 Bad Trader,39.125077000000005,🐤 Regular User,🦐 Low Value Trader,🐤 Just there,4,0x85e3ed773526f310293d551df0fa87154d088707
2,🔴 Bad Trader,5.3673266043811685,🐤 Regular User,🦐 Low Value Trader,🐤 Just there,3,0x4ef0bf07e8b698c2c8033de392ff270b7fdbd14b
1,🔴 Bad Trader,105.02963531863568,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x55f709b630f37a786a310d89783feb9d9a23a269
1,🔴 Bad Trader,120.00555747795603,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x814a6f05b7e5d63b3cc5e3dc984ba3b855cb4619
1,🔴 Bad Trader,0.8544982079985124,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0xf64b5259928fa3aa174aa3a21f70cf3bc8d83d32
1,🔴 Bad Trader,2.169694034183436,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x29d5ec63dcf672c3934a132e14bce596ba005d6b
1,🔴 Bad Trader,8.76444639038123,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0xacad04022d18861fdeab60e1f6e2fc48e3bae36e
4,🔴 Bad Trader,36.682367704102504,🐦 Frequent User,🦐 Low Value Trader,🐦 OG,14,0xcf63a4ebe938e69b5b3314be85f8493bffe37e98
4,🔴 Bad Trader,9.529994197718501,🐤 Regular User,🦐 Low Value Trader,🐦 OG,7,0xe40370063577be7603021da43c664aeecf20116d
3,🔴 Bad Trader,0.037439812798117734,🐤 Regular User,🦐 Low Value Trader,🐦 OG,8,0x290d24d1365014ce360ec470191daf316b71bbc9
1,🔴 Bad Trader,5.704367559579661,🐤 Regular User,🦐 Low Value Trader,🐣 Unserious,2,0xf832362a7306668c1e91751070a3d8b257f79830
16,🔴 Bad Trader,40.67458499999999,🐦 Frequent User,🦐 Low Value Trader,🐦 OG,23,0x38d9b3a87028b732bffef4b051bb3a9fe65cf558
1,🔴 Bad Trader,2137.237744570462,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0xf36c753c24fbc6214f505ae1bb596abdbab8b95b
1,🔴 Bad Trader,1607.8025243482402,🐤 Regular User,🐟 Middle Value Trader,🐣 Unserious,9,0x0efd4fa96373f2ae6f5b5fb773f144ea739a34df
1,🔴 Bad Trader,44.160978,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x3233820e2ced7b9c47cca07db8215e5ca71e99c9
1,🔴 Bad Trader,1.936885,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x8da4f36e90e7be8379348f3637d54efa2aad070c
3,🔴 Bad Trader,0.17865912872910378,🐤 Regular User,🦐 Low Value Trader,🐦 OG,4,0x171222c4559b82875b4c388c831b4dd3a0cd032e
1,🔴 Bad Trader,3532.7620269,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x97b565ea5b79bfb9585e8084836b3de913ce47de
1,🔴 Bad Trader,481.89698799999996,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x2e2fa04ebb8b913458fd26dd4fe59288f6ecdbb5
1,🔴 Bad Trader,905.4384827461953,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x1cfc73dbe9f1468333fd0193076fecc9e17b28d8
1,🔴 Bad Trader,74.83987231316708,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x2851d6d21e344e579b535ed03a2f34c5837a0f36
2,🔴 Bad Trader,11.529648725724979,🐤 Regular User,🦐 Low Value Trader,🐤 Just there,2,0x041944601dabf38366542a06ec870944974fc4d5
1,🔴 Bad Trader,47.10469677560282,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x13551ddcaf6637d6a1da7fefa5d3b0214a8e6c82
1,🔴 Bad Trader,33.56155615237258,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x358616971380274a3f0e7d4bd51195310992bdd4
1,🔴 Bad Trader,11.540988448659878,🐤 Regular User,🦐 Low Value Trader,🐣 Unserious,2,0x452f10e718386c1aa7944f68f1454e3ddb387245
1,🔴 Bad Trader,7812.049891810036,🐣 Occasional User,🐟 Middle Value Trader,🐣 Unserious,1,0x2ed67dd1663808ff18a4fc97e9573dabb953166d
1,🔴 Bad Trader,19.28515273233293,🐣 Occasional User,🦐 Low Value Trader,🐣 Unserious,1,0x49dd9c65109ecb526391e4061c34447148deccd1
1,🔴 Bad Trader,5.734015888208899,🐤 Regular User,🦐 Low Value Trader,🐣 Unserious,2,0x56744154d58b37e5566091c9e514d9256cb90345
