active_weeks,target_variable,total_volume,trader_activity_status,trader_volume_status,trader_weekly_frequency_status,tx_count_365d,wallet
2,Bad Trader,11.606697233999467,Regular User,Low Value Trader,Just there,2,0x60eb06c4f5401fa810e96ab3899b05c17d1ab345
11,Bad Trader,17.431964999999998,Frequent User,Low Value Trader,OG,72,0xe13c64e5aa8c04830ea739327afa4af763eff425
3,Good Trader,2233.228405,Regular User,Middle Value Trader,OG,3,0x1406d7386f5d3b97fa8e654048d398da2b466031
3,Bad Trader,69.70021567059635,Regular User,Low Value Trader,OG,6,0x6ac449e219f1e0d5fd45db1ee6c5e0e758f68c66
1,Bad Trader,33.56155615237258,Occasional User,Low Value Trader,Unserious,1,0x358616971380274a3f0e7d4bd51195310992bdd4
1,Bad Trader,812.7941025038806,Regular User,Middle Value Trader,Unserious,2,0xcd19d68154c6017e359c13253d4c34fbda666640
1,Bad Trader,35.9601625719481,Occasional User,Low Value Trader,Unserious,1,0x26ad1e1bc4eaa5b5fcaf6b0ef7eab6d635fc4ab5
45,Good Trader,2196.953460790179,Frequent User,Middle Value Trader,OG,255,0xbf4b132e38f33e61f8b680ef954658280d775494
1,Bad Trader,18272.57459332485,Occasional User,Middle Value Trader,Unserious,1,0x244e4e003a8f5f10afdae9fd1e53d0f9acaabb07
38,Good Trader,120362.21092518512,Frequent User,High Value Trader,OG,66,0xde426c46a7037c0bc426f787b2b92426da180c71
1,Bad Trader,18.609923740920703,Occasional User,Low Value Trader,Unserious,1,0x7cb457479242073c72884317690c604e773f4b64
4,Good Trader,80.18102204451144,Regular User,Middle Value Trader,OG,4,0x0a7c164079eeed97d38c5df90d8163dfca2b3610
1,Bad Trader,13.5334803474,Regular User,Low Value Trader,Unserious,2,0x87a05cdb55efe86ca8c48747eecdb49881bef8ef
1,Bad Trader,38.063232323604176,Occasional User,Low Value Trader,Unserious,1,0x68b219eb05b706e61ecda50feeeb7804f8d790fc
2,Good Trader,24681.918186516203,Regular User,Middle Value Trader,Just there,7,0x402077f68213601a7f192194c312cfc357e44c98
1,Bad Trader,6311.959840139928,Frequent User,Middle Value Trader,Unserious,14,0xb666c9f0609469945746f8d931d14ca5024befb3
18,Good Trader,2005.06050322639,Frequent User,Middle Value Trader,OG,34,0x17c50db51f2128933487bc143894e8d48b78137c
29,Good Trader,3861.0768654214608,Frequent User,Middle Value Trader,OG,83,0xc02dd50b25364e747410730a1df9b72a92c3c68b
1,Bad Trader,269.90281989588846,Occasional User,Middle Value Trader,Unserious,1,0xef5a15fbbd0c6d0aa2b623b4725cb5d7403dc24a
