active_weeks,target_variable,total_volume,trader_activity_status,trader_volume_status,trader_weekly_frequency_status,tx_count_365d,wallet
7,Bad Trader,26.654947978284344,Regular User,Low Value Trader,OG,8,0xa3299cd8332e978ba5a87a9c155426843ba7fdd5
37,Good Trader,5926637.599437918,Frequent User,High Value Trader,OG,339,0x48398c713a4511bb2c7639825a3a6ffeaf2810be
1,Bad Trader,260.1992188303706,Occasional User,Middle Value Trader,Unserious,1,0xa23510c72e75b7c5d0cd36379ae2a7b53b4a19c8
2,Good Trader,330.93010529553834,Regular User,Middle Value Trader,Just there,2,0x6ea96a9fb99b9882ca7d00048541e89a24b70d3d
1,Bad Trader,59.83513308295138,Occasional User,Low Value Trader,Unserious,1,0xac500a58861929ebbb4087d1e5221e504b489869
2,Bad Trader,2.57684826727406,Regular User,Low Value Trader,Just there,2,0x7dab2fe2a91d1d59fc810f6eca927893f2d95613
19,Good Trader,9093.78141186236,Frequent User,Middle Value Trader,OG,94,0x97e26248f0f7604fbcaee85ec4e010d9382f612f
1,Bad Trader,15758.202220849327,Regular User,Middle Value Trader,Unserious,4,0xbf2e923ea699d52f1e4ea28e9022406423fca5d8
1,Bad Trader,4.4278353231,Occasional User,Low Value Trader,Unserious,1,0x1dc8f1780eabfd1e4b62c67b0d18fa0e5103f7d8
1,Bad Trader,42.36695505722484,Occasional User,Low Value Trader,Unserious,1,0x5f7f7cb0cebab6fb0970954a7b72b4ad7b3bf05f
1,Bad Trader,711.8737928180843,Occasional User,Middle Value Trader,Unserious,1,0xbac24e4704007501ccd8630dccbc7c20cc658539
1,Bad Trader,18.206719,Occasional User,Low Value Trader,Unserious,1,0xbe87928abbe147d1301e319d3f61f3068209d722
9,Good Trader,9498.849901182884,Frequent User,Middle Value Trader,OG,39,0x16f383b0fa855faa522ed9cbf4637cb9c3e19d0e
3,Good Trader,172.0582555382415,Regular User,Middle Value Trader,OG,6,0xd39bfc38795c9f1632addf3911f4b4bdd643987f
5,Good Trader,191.2838253567109,Regular User,Middle Value Trader,OG,5,0x513f897cc7e7f1748504831d8d95b3f1687184dc
14,Good Trader,10608.828527722631,Frequent User,Middle Value Trader,OG,69,0xb4189e5dc353460df9f66e5f63e016cd85a2ff0f
5,Good Trader,428.8993126524404,Regular User,Middle Value Trader,OG,8,0xf5b8c93d5606edca9778717ceb567a2331b1419f
1,Bad Trader,75.755058743,Occasional User,Middle Value Trader,Unserious,1,0xa8e2db55210c8c33258149b5c5fb4ed5ddd711f3
2,Bad Trader,3.2697880320437087,Regular User,Low Value Trader,Just there,7,0x8a81cd985ff3fe652b308edbbd9b1330eea03b44
2,Bad Trader,52.98473992410754,Regular User,Low Value Trader,Just there,3,0x50dd98102a0b468fc7973b9b21c047fe3d1f2c94
6,Good Trader,18226.08785,Frequent User,Middle Value Trader,OG,30,0xc5caf5d5286136a475cc8e37ec86f1d090b7dcfb
1,Bad Trader,38.41076140309305,Occasional User,Low Value Trader,Unserious,1,0x93da789e4e94a82035eb24c06045b000a9f5ad3d
1,Bad Trader,1781.9342,Occasional User,Middle Value Trader,Unserious,1,0x9bc8efd7830b05ba33c04fee85f6c36e5ebd1f88
11,Good Trader,2639.766201024031,Frequent User,Middle Value Trader,OG,26,0x8452af020eb39376b513da28772113604c2e7f85
1,Bad Trader,61.68224894906788,Occasional User,Low Value Trader,Unserious,1,0xf943203bcba91da634dd7a8ba6027fb2c9a9daa0
2,Bad Trader,10.611983299583589,Regular User,Low Value Trader,Just there,2,0x63ebd1b08a3086648db6b1013bf64668ed2e5446
8,Good Trader,229.74857398046169,Frequent User,Middle Value Trader,OG,11,0x5b477781363f6b8135e7b8212d82c34a61e55c25
8,Good Trader,7529.802264241749,Frequent User,Middle Value Trader,OG,19,0xf1659c6984a52dea5084154617c380b453323101
4,Good Trader,16177.741604236571,Regular User,Middle Value Trader,OG,7,0x96157f1bbff598fcf25c8213917a7ad617ee1849
4,Bad Trader,36.6823677041025,Frequent User,Low Value Trader,OG,14,0xcf63a4ebe938e69b5b3314be85f8493bffe37e98
3,Good Trader,18942.7353,Regular User,Middle Value Trader,OG,4,0x0bd7f980afc80839eb1920487f5680cd778629c9
29,Good Trader,774.754,Frequent User,Middle Value Trader,OG,36,0x9092390ad7ce20ea9020c362d013cb865b28112c
29,Good Trader,2963.7439516,Frequent User,Middle Value Trader,OG,57,0x9ce989070d3207e566fe4809da769138451b90f8
4,Good Trader,923.894145,Frequent User,Middle Value Trader,OG,10,0x93afc0520266a1418aa9c0fd173640c7622d543d
13,Good Trader,23401.15950414816,Frequent User,Middle Value Trader,OG,21,0x90154f63ce4831d096a0b25476e88075c47407cd
16,Good Trader,840.6211904964898,Frequent User,Middle Value Trader,OG,20,0x21ec44d6ced2203cfac0b121f4ce8022ffc5bb2f
2,Bad Trader,19.36885,Regular User,Low Value Trader,Just there,2,0xcbfc60a45db851324e9dba6874f220ba93bedf4a
2,Bad Trader,15.618759676938966,Regular User,Low Value Trader,Just there,3,0xb448e85f5140b807779a402760b7970a73927071
8,Good Trader,125.31065938031952,Frequent User,Middle Value Trader,OG,19,0x2296c762afe8de1177e7b23757a42c9a744a8fca
1,Bad Trader,19.387908242489104,Occasional User,Low Value Trader,Unserious,1,0xb0b1a43360381ec443c0ea4e909a61ae959ee01a
2,Bad Trader,37.19414376904712,Regular User,Low Value Trader,Just there,6,0x5706cd2236249574ce6ab4050ed003932b9be663
1,Bad Trader,601.2526357766659,Occasional User,Middle Value Trader,Unserious,1,0x804a5c3fe948cf16bcde52c00744b314d46312e2
1,Bad Trader,778.62777,Regular User,Middle Value Trader,Unserious,4,0x276d5ecf81c087938dae3d4cd0b00838565c4839
15,Good Trader,72856.96030669045,Frequent User,High Value Trader,OG,603,0xa27a9ecb53a8505b74e84532f711c0cce35faded
1,Bad Trader,35.9601625719481,Occasional User,Low Value Trader,Unserious,1,0x26ad1e1bc4eaa5b5fcaf6b0ef7eab6d635fc4ab5
31,Good Trader,21277.788768598868,Frequent User,Middle Value Trader,OG,157,0xf8aa781139c80d31fa8365380a53e8abfb98f717
9,Good Trader,5100.924302261223,Frequent User,Middle Value Trader,OG,10,0x4c0eaef75ea4ce339514db907cff52b6c6dc6f31
7,Good Trader,13816.988992021674,Frequent User,Middle Value Trader,OG,81,0x2106f1a4c1c55c4363f054adff054eada6779b61
5,Bad Trader,10.395120598745626,Regular User,Low Value Trader,OG,5,0xa8dd148f5205a1f67b7e8aa9fc65fffb987dbb22
